id;parent_id;person_type;name;begin;end;wiki_url
de.05358028;de.05358;Gemeinde;Kreuzau;;;Kreuzau
de.05358032;de.05358;Gemeinde;Langerwehe;;;Langerwehe
de.05358036;de.05358;Stadt;Linnich;;;Linnich
de.05358040;de.05358;Gemeinde;Merzenich;;;Merzenich
de.05358044;de.05358;Stadt;Nideggen;;;Nideggen
de.05358048;de.05358;Gemeinde;Niederzier;;;Niederzier
de.05358052;de.05358;Gemeinde;Nörvenich;;;Nörvenich
de.05358056;de.05358;Gemeinde;Titz;;;Titz
de.05358060;de.05358;Gemeinde;Vettweiß;;;Vettweiß
de.05362001;de.05362;Kreisverwaltung;Rhein-Erft-Kreis;;;Kreisverwaltung_Rhein-Erft-Kreis
de.05362004;de.05362;Stadt;Bedburg;;;Bedburg
de.05362008;de.05362;Stadt;Bergheim;;;Bergheim
de.05362012;de.05362;Stadt;Brühl;;;Brühl
de.05362016;de.05362;Stadt;Elsdorf;;;Elsdorf
de.05362020;de.05362;Stadt;Erftstadt;;;Erftstadt
de.05362024;de.05362;Stadt;Frechen;;;Frechen
de.05362028;de.05362;Stadt;Hürth;;;Hürth
de.05362032;de.05362;Stadt;Kerpen;;;Kerpen
de.05362036;de.05362;Stadt;Pulheim;;;Pulheim
de.05362040;de.05362;Stadt;Wesseling;;;Wesseling
de.05366001;de.05366;Kreisverwaltung;Euskirchen;;;Kreisverwaltung_Euskirchen
de.05366004;de.05366;Stadt;Bad Münstereifel;;;Bad_Münstereifel
de.05366008;de.05366;Gemeinde;Blankenheim;;;Blankenheim
de.05366012;de.05366;Gemeinde;Dahlem;;;Dahlem
de.05366016;de.05366;Stadt;Euskirchen;;;Euskirchen
de.05366020;de.05366;Gemeinde;Hellenthal;;;Hellenthal
de.05366024;de.05366;Gemeinde;Kall;;;Kall
de.05366028;de.05366;Stadt;Mechernich;;;Mechernich
de.05366032;de.05366;Gemeinde;Nettersheim;;;Nettersheim
de.05366036;de.05366;Stadt;Schleiden;;;Schleiden
de.05366040;de.05366;Gemeinde;Weilerswist;;;Weilerswist
de.05366044;de.05366;Stadt;Zülpich;;;Zülpich
de.05370001;de.05370;Kreisverwaltung;Heinsberg;;;Kreisverwaltung_Heinsberg
de.05370004;de.05370;Stadt;Erkelenz;;;Erkelenz
de.05370008;de.05370;Gemeinde;Gangelt;;;Gangelt
de.05370012;de.05370;Stadt;Geilenkirchen;;;Geilenkirchen
de.05370016;de.05370;Stadt;Heinsberg;;;Heinsberg
de.05370020;de.05370;Stadt;Hückelhoven;;;Hückelhoven
de.05370024;de.05370;Gemeinde;Selfkant;;;Selfkant
de.05370028;de.05370;Stadt;Übach-Palenberg;;;Übach-Palenberg
de.05370032;de.05370;Gemeinde;Waldfeucht;;;Waldfeucht
de.05370036;de.05370;Stadt;Wassenberg;;;Wassenberg
de.05370040;de.05370;Stadt;Wegberg;;;Wegberg
de.05374001;de.05374;Kreisverwaltung;Oberbergischer Kreis;;;Kreisverwaltung_Oberbergischer_Kreis
de.05374004;de.05374;Stadt;Bergneustadt;;;Bergneustadt
de.05374008;de.05374;Gemeinde;Engelskirchen;;;Engelskirchen
de.05374012;de.05374;Stadt;Gummersbach;;;Gummersbach
de.05374016;de.05374;Stadt;Hückeswagen;;;Hückeswagen
de.05374020;de.05374;Gemeinde;Lindlar;;;Lindlar
de.05374024;de.05374;Gemeinde;Marienheide;;;Marienheide
de.05374028;de.05374;Gemeinde;Morsbach;;;Morsbach
de.05374032;de.05374;Gemeinde;Nümbrecht;;;Nümbrecht
de.05374036;de.05374;Stadt;Radevormwald;;;Radevormwald
de.05374040;de.05374;Gemeinde;Reichshof;;;Reichshof
de.05374044;de.05374;Stadt;Waldbröl;;;Waldbröl
de.05374048;de.05374;Stadt;Wiehl;;;Wiehl
de.05374052;de.05374;Stadt;Wipperfürth;;;Wipperfürth
de.05378001;de.05378;Kreisverwaltung;Rheinisch-Bergischer Kreis;;;Kreisverwaltung_Rheinisch-Bergischer_Kreis
de.05378004;de.05378;Stadt;Bergisch Gladbach;;;Bergisch_Gladbach
de.05378008;de.05378;Stadt;Burscheid;;;Burscheid
de.05378012;de.05378;Gemeinde;Kürten;;;Kürten
de.05378016;de.05378;Stadt;Leichlingen (Rhld.);;;Leichlingen_(Rhld.)
de.05378020;de.05378;Gemeinde;Odenthal;;;Odenthal
de.05378024;de.05378;Stadt;Overath;;;Overath
de.05378028;de.05378;Stadt;Rösrath;;;Rösrath
de.05378032;de.05378;Stadt;Wermelskirchen;;;Wermelskirchen
de.05382001;de.05382;Kreisverwaltung;Rhein-Sieg-Kreis;;;Kreisverwaltung_Rhein-Sieg-Kreis
de.05382004;de.05382;Gemeinde;Alfter;;;Alfter
de.05382008;de.05382;Stadt;Bad Honnef;;;Bad_Honnef
de.05382012;de.05382;Stadt;Bornheim;;;Bornheim
de.05382016;de.05382;Gemeinde;Eitorf;;;Eitorf
de.05382020;de.05382;Stadt;Hennef (Sieg);;;Hennef_(Sieg)
de.05382024;de.05382;Stadt;Königswinter;;;Königswinter
de.05382028;de.05382;Stadt;Lohmar;;;Lohmar
de.05382032;de.05382;Stadt;Meckenheim;;;Meckenheim
de.05382036;de.05382;Gemeinde;Much;;;Much
de.05382040;de.05382;Gemeinde;Neunkirchen-Seelscheid;;;Neunkirchen-Seelscheid
de.05382044;de.05382;Stadt;Niederkassel;;;Niederkassel
de.05382048;de.05382;Stadt;Rheinbach;;;Rheinbach
de.05382052;de.05382;Gemeinde;Ruppichteroth;;;Ruppichteroth
de.05382056;de.05382;Stadt;Sankt Augustin;;;Sankt_Augustin
de.05382060;de.05382;Stadt;Siegburg;;;Siegburg
de.05382064;de.05382;Gemeinde;Swisttal;;;Swisttal
de.05382068;de.05382;Stadt;Troisdorf;;;Troisdorf
de.05382072;de.05382;Gemeinde;Wachtberg;;;Wachtberg
de.05382076;de.05382;Gemeinde;Windeck;;;Windeck
de.05512000;de.055;kreisfreie Stadt;Bottrop;;;Bottrop
de.05513000;de.055;kreisfreie Stadt;Gelsenkirchen;;;Gelsenkirchen
de.05515000;de.055;kreisfreie Stadt;Münster;;;Münster
de.05554001;de.05554;Kreisverwaltung;Borken;;;Kreisverwaltung_Borken
de.05554004;de.05554;Stadt;Ahaus;;;Ahaus
de.05554008;de.05554;Stadt;Bocholt;;;Bocholt
de.05554012;de.05554;Stadt;Borken;;;Borken
de.05554016;de.05554;Stadt;Gescher;;;Gescher
de.05554020;de.05554;Stadt;Gronau (Westf.);;;Gronau_(Westf.)
de.05554024;de.05554;Gemeinde;Heek;;;Heek
de.05554028;de.05554;Gemeinde;Heiden;;;Heiden
de.05554032;de.05554;Stadt;Isselburg;;;Isselburg
de.05554036;de.05554;Gemeinde;Legden;;;Legden
de.05554040;de.05554;Gemeinde;Raesfeld;;;Raesfeld
de.05554044;de.05554;Gemeinde;Reken;;;Reken
de.05554048;de.05554;Stadt;Rhede;;;Rhede
de.05554052;de.05554;Gemeinde;Schöppingen;;;Schöppingen
de.05554056;de.05554;Stadt;Stadtlohn;;;Stadtlohn
de.05554060;de.05554;Gemeinde;Südlohn;;;Südlohn
de.05554064;de.05554;Stadt;Velen;;;Velen
de.05554068;de.05554;Stadt;Vreden;;;Vreden
de.05558001;de.05558;Kreisverwaltung;Coesfeld;;;Kreisverwaltung_Coesfeld
de.05558004;de.05558;Gemeinde;Ascheberg;;;Ascheberg
de.05558008;de.05558;Stadt;Billerbeck;;;Billerbeck
